a2jmidid 9-1
accerciser 3.34.2-1
acpi 1.7-2
acpid 2.0.32-1
alsa-firmware 1.2.1-1
alsa-oss 1.1.8-1
alsa-tools 1.1.7-1
alsa-utils 1.2.1-1
arandr 0.1.10-4
ario 1.6-1
asoundconf 1.2-4
autoconf 2.69-6
autojump-git 22.5.3.r0.g06e082c-3
automake 1.16.1-2
autorandr 1.8.1-2
awesome-terminal-fonts 1.1.0-2
baobab 3.34.0-1
base 2-2
binutils 2.33.1-2
bison 3.4.2-2
blueman 2.1.1-2
bluez-alsa-git 2.0.0.r21.g740886b-1
bluez-utils 5.52-1
budgie-desktop 10.5.1-1
budgie-extras 0.10.1-2
cadence-claudia 0.9.0-1
carla 2.0.0-1
cheese 3.34.0-2
cmake 3.16.0-1
cmus 2.8.0-3
conky-lua 1.11.3-1
cowsay 3.04-1
cpulimit 1:0.2-1
cuda 10.2.89-1
cudnn 7.6.5.32-1
cups 2.3.0-4
dconf-editor 3.34.2-1
devhelp 3.34.0-1
dhcping 1.2-2
diff-so-fancy 1.2.7-1
discord 0.0.9-5
dmidecode 3.2-1
docker 1:19.03.5-1
docker-compose 1.25.0-1
dropbox 85.4.155-1
dropbox-cli 2019.02.14-1
efibootmgr 16-2
eog 3.34.1-1
epiphany 3.34.2-1
espeak 1:1.48.04-2
evince 3.34.2-1
evolution 3.34.2-1
fakeroot 1.24-2
feh 3.3-1
ffmpeg 1:4.2.1-4
ffmpegthumbnailer 2.2.2-1
figlet-fonts 1.0-3
file 5.37-5
file-roller 3.32.3-1
findutils 4.7.0-2
fish 3.0.2-3
five-or-more 3.32.0-1
flex 2.6.4-3
fortune-mod 2.10.0-2
four-in-a-row 3.34.1-1
gawk 5.0.1-2
gcc 9.2.0-4
gdm 3.34.1-1
gedit 3.34.1-1
gettext 0.20.1-3
ghex 3.18.4-1
gigedit 1.1.1-1
gimp 2.10.14-1
git 2.24.0-1
git-lfs 2.9.1-1
gitflow-avh 1.12.3-1
glances 3.1.3-2
gnome-backgrounds 3.34.0-1
gnome-books 3.34.0-1
gnome-boxes 3.34.2-1
gnome-builder 3.34.1-3
gnome-calculator 3.34.1-1
gnome-calendar 3.34.2-1
gnome-characters 3.32.1-1
gnome-chess 3.34.0-1
gnome-clocks 3.34.0-1
gnome-code-assistance 1:3.16.1+15+g0fd8b5f-1
gnome-color-manager 3.32.0-2
gnome-contacts 3.34-1
gnome-control-center 3.34.2-1
gnome-devel-docs 3.32.1+7+g67da0507-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.34.0-2
gnome-documents 3.33.90+7+gcc19ed47-1
gnome-flashback 3.34.0-1
gnome-font-viewer 3.34.0-1
gnome-getting-started-docs 3.34.1-1
gnome-keyring 1:3.34.0-2
gnome-klotski 3.34.0-1
gnome-logs 3.34.0-1
gnome-mahjongg 3.34.0-1
gnome-maps 3.34.2-1
gnome-mines 3.34.0-1
gnome-multi-writer 3.32.1-1
gnome-music 1:3.34.2-1
gnome-nettool 3.8.1+205+g8550eef-2
gnome-nibbles 3.34.1-1
gnome-photos 3.34.0-1
gnome-recipes 2.0.2-4
gnome-remote-desktop 0.1.7-1
gnome-robots 3.34.0-1
gnome-screensaver 3.6.1-16
gnome-screenshot 3.34.0-1
gnome-shell 1:3.34.1+56+gbb24df2f9-1
gnome-shell-extensions 3.34.1-1
gnome-software 3.34.2-1
gnome-sound-recorder 3.34.0-1
gnome-sudoku 3.34.1-1
gnome-system-monitor 3.32.1-1
gnome-taquin 3.34.2-1
gnome-terminal 3.34.2-1
gnome-tetravex 3.34.1-1
gnome-todo 3.28.1+22+gd56e14e-1
gnome-tweaks 3.34.0-2
gnome-usage 3.33.2-1
gnome-user-docs 3.34.1-1
gnome-user-share 3.34.0-1
gnome-video-effects 0.5.0+4+g9554041-1
gnome-weather 3.34.0-1
gnu-netcat 0.7.1-7
google-chrome 78.0.3904.108-1
google-cloud-sdk 272.0.0-2
google-photos-desktop 0.9-1
gpointing-device-settings 1.5.1-5
graphicsmagick 1.3.33-2
grc 1.11.3-1
greed 4.2-1
grep 3.3-3
